gid,objectid,statefp,placefp,geoid,name,namelsad,geonum,x,y,geom
25,25,08,18310,0818310,Crested Butte,Crested Butte town,10818310,-106.977,38.8677,0101000020AD1000001300018B8BBE5AC031B3BEF7116F4340
26,26,08,23740,0823740,Elizabeth,Elizabeth town,10823740,-104.606,39.361,0101000020AD100000A01A1A85CB265AC0ADE2C1BD35AE4340
27,27,08,40790,0840790,Kiowa,Kiowa town,10840790,-104.455,39.343,0101000020AD10000004CC058E251D5AC0412517C5E8AB4340
28,28,08,27425,0827425,Fort Collins,Fort Collins city,10827425,-105.066,40.5488,0101000020AD1000008BCE111737445AC0FB02C9323E464440
29,29,08,86310,0886310,Wray,Wray city,10886310,-102.228,40.0799,0101000020AD1000006D2CFC2B968E59C0D2AEF7A43A0A4440
30,30,08,49875,0849875,Meeker,Meeker town,10849875,-107.895,40.0498,0101000020AD100000D079206E4DF95AC04877B4D65F064440
31,31,08,00925,0800925,Akron,Akron town,10800925,-103.221,40.1644,0101000020AD1000008194DDB91FCE59C087325F770A154440
32,32,08,62880,0862880,Rangely,Rangely town,10862880,-108.777,40.0864,0101000020AD1000009124BBFBBF315BC0075A57AA100B4440
33,33,08,17760,0817760,Craig,Craig city,10817760,-107.556,40.517,0101000020AD10000069B97E2690E35AC0D9FD491F2E424440
34,34,08,20495,0820495,Dinosaur,Dinosaur town,10820495,-109.009,40.2406,0101000020AD100000AD0137BB8C405BC0DA661864CA1E4440
35,35,08,68655,0868655,Sawpit,Sawpit town,10868655,-108.001,37.9946,0101000020AD10000078F6B27913005BC09AFFD3BE4FFF4240
36,36,08,19080,0819080,Dacono,Dacono city,10819080,-104.95,40.0617,0101000020AD100000FF24955DCD3C5AC0648D26ABE6074440
37,37,08,85485,0885485,Windsor,Windsor town,10885485,-104.921,40.4666,0101000020AD100000E60ED018F73A5AC06699E3C5BA3B4440
38,38,08,39855,0839855,Johnstown,Johnstown town,10839855,-104.949,40.349,0101000020AD100000828A918EBB3C5AC040B09372AC2C4440
39,39,08,45530,0845530,Lochbuie,Lochbuie town,10845530,-104.727,40.0116,0101000020AD100000F0588150892E5AC035FAC0477B014440
